=== Font Debug Output (PID: 84546) ===
Total fonts: 977

  25: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-Thin.ttf | idx=0 | Normal-250-FontStretch(1000)
  26: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-Light.ttf | idx=0 | Normal-300-FontStretch(1000)
  27: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-LightItalic.ttf | idx=0 | Italic-300-FontStretch(1000)
  28: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-MediumItalic.ttf | idx=0 | Italic-500-FontStretch(1000)
  29: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-SemiBoldItalic.ttf | idx=0 | Italic-600-FontStretch(1000)
  30: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-BoldItalic.ttf | idx=0 | Italic-700-FontStretch(1000)
  31: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-ExtraLightItalic.ttf | idx=0 | Italic-275-FontStretch(1000)
  32: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-Regular.ttf | idx=0 | Normal-400-FontStretch(1000)
  33: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-ExtraBold.ttf | idx=0 | Normal-800-FontStretch(1000)
  34: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-ExtraLight.ttf | idx=0 | Normal-275-FontStretch(1000)
  35: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-ThinItalic.ttf | idx=0 | Italic-250-FontStretch(1000)
  36: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-Italic.ttf | idx=0 | Italic-400-FontStretch(1000)
  37: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-ExtraBoldItalic.ttf | idx=0 | Italic-800-FontStretch(1000)
  38: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-SemiBold.ttf | idx=0 | Normal-600-FontStretch(1000)
  39: Apple SD Gothic Neo | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=0 | Normal-400-FontStretch(1000)
  40: Apple SD Gothic NeoI | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=1 | Normal-400-FontStretch(1000)
  41: Apple SD Gothic Neo | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=2 | Normal-500-FontStretch(1000)
  42: Apple SD Gothic NeoI | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=3 | Normal-500-FontStretch(1000)
  43: Apple SD Gothic Neo | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=4 | Normal-600-FontStretch(1000)
  44: Apple SD Gothic NeoI | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=5 | Normal-600-FontStretch(1000)
  45: Apple SD Gothic Neo | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=6 | Normal-700-FontStretch(1000)
  46: Apple SD Gothic NeoI | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=7 | Normal-700-FontStretch(1000)
  47: Apple SD Gothic Neo | /System/Library/Fonts/AppleSDGothicNeo.ttc | idx=8 | Normal-300-FontStretch(1000)
